2761%Siu-Wong Fan 
2762%Hardy Krüger 
2763%Stephen Boyd 
2764%Bryan Batt 
2765%Albert Brooks
2766%Darren McGavin
2767%Adolphe Menjou
2768%Mary Astor
2769%Bryce Dallas Howard
2770%Bette Davis
2771%Enzo Staiola
2772%Tony Chiu Wai Leung
2773%Billy Crystal
2774%Laurence Fishburne
2775%Peter Stormare
2776%Charles Chaplin
2777%Henry Daniell 
2778%Jürgen Prochnow
2779%Natascha McElhone 
2780%Tom Sizemore
2781%Louis Calhern 
2782%Keith David
2783%Cary Elwes
2784%Shah Rukh Khan
2785%Rebecca Williams
2786%Thelma Ritter 
2787%Al Ernest Garcia 
2788%Machiko Kyô
2789%Ralph Fiennes
2790%Meat Loaf 
2791%Oka Antara 
2792%Sean Connery
2793%Elsa Lanchester 
2794%Victor Sjöström
2795%Humphrey Bogart
2796%Rémy Girard
